frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_13,away_x_16,away_x_19,away_x_2,away_x_21,away_x_22,away_x_3,away_x_4,away_x_5,away_x_6,away_x_7,away_x_8,away_x_9,away_y_1,away_y_10,away_y_11,away_y_13,away_y_16,away_y_19,away_y_2,away_y_21,away_y_22,away_y_3,away_y_4,away_y_5,away_y_6,away_y_7,away_y_8,away_y_9,gk_away,home_x_10,home_x_14,home_x_15,home_x_17,home_x_19,home_x_2,home_x_20,home_x_21,home_x_22,home_x_23,home_x_25,home_x_3,home_x_4,home_x_5,home_x_7,home_x_8,home_y_10,home_y_14,home_y_15,home_y_17,home_y_19,home_y_2,home_y_20,home_y_21,home_y_22,home_y_23,home_y_25,home_y_3,home_y_4,home_y_5,home_y_7,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
9282,10502,3932,2.18,1,6629878,SH,OTB,107,Christian Pulisic,10,0,LW,-42.64,-3.64,25,-40.281,NA,-8.684,NA,NA,-22.756,-31.318,NA,-6.688,-23.588,-23.133,-31.799,NA,-30.337,-35.336,1.075,-4.868,NA,1.09,NA,NA,15.339,14.279,NA,11.988,4.714,-2.083,16.397,NA,-1.184,4.337,1,-38.324,-24.888,-31.008,-34.884,NA,-34.041,NA,-37.847,-33.003,-46.788,NA,NA,-32.119,-28.149,NA,-37.82,-3.864,-0.036,1.819,16.596,NA,-1.419,NA,7.164,11.125,-2.388,NA,NA,6.194,2.649,NA,2.972,23,FALSE,no_data,1,2.17,OTB,FALSE,NA,NA,107,Christian Pulisic,11241,Andries Noppert,F,FALSE,FALSE,S,FALSE
20398,10502,15081,8.36,1,6631191,SH,OTB,8342,Memphis Depay,10,1,CF,42.64,13.62,50.237,20.974,NA,44.392,NA,NA,38.776,18.414,NA,44.464,42.188,45.758,40.762,NA,44.51,23.253,3.227,-12.711,NA,0.987,NA,NA,12.772,17.626,NA,10.013,7.612,3.741,-2.841,NA,13.136,2.682,1,42.657,22.398,41.324,39.667,NA,18.245,NA,37.958,35.673,-28.11,NA,NA,5.601,10.813,NA,43.799,13.403,-4.164,-3.011,10.892,NA,-3.47,NA,14.713,-10.978,0.968,NA,NA,4.318,10.396,NA,1.53,23,FALSE,no_data,1,8.28,OTB,TRUE,NA,NA,8342,Memphis Depay,NA,NA,S,FALSE,FALSE,O,FALSE
22485,10502,17168,9.52,1,6630642,SH,OTB,8342,Memphis Depay,10,1,CF,41.04,-4.18,50.651,16.634,NA,45.641,NA,NA,42.89,15.355,NA,46.271,33.949,45.731,41.554,NA,37.905,9.675,-1.922,-13.58,NA,-5.824,NA,NA,5.306,14.264,NA,-2.949,-2.989,-17.412,0.065,NA,-16.187,-3.939,1,38.281,35.914,41.305,20.132,NA,2.413,NA,24.818,45.028,-32.149,NA,NA,0.968,3.149,NA,34.283,0.881,-9.504,2.996,14.098,NA,-14.736,NA,10.517,-27.865,-0.71,NA,NA,-4.857,7.531,NA,-20.689,23,TRUE,goal_detected,1,9.52,OTB,TRUE,NA,NA,8342,Memphis Depay,940,Matt Turner,F,FALSE,FALSE,G,TRUE
36063,10502,30776,17.07,1,6629751,SH,OTB,8026,Daley Blind,17,1,LWB,41.34,10.77,48.72,0.31,NA,41.102,NA,NA,39.845,7.381,NA,37.927,30.692,29.255,32.96,NA,10.498,0.106,2.43,-22.664,NA,-1.064,NA,NA,7.656,13.059,NA,5.143,-0.22,-16.447,-3.339,NA,-11.964,-13.925,1,41.267,31.835,16.421,15.746,NA,3.232,NA,38.521,10.988,-31.857,NA,NA,-2.992,-0.948,NA,37.678,2.74,-6.492,-1.206,14.719,NA,-13.5,NA,10.241,-21.16,-0.618,NA,NA,-0.558,5.667,NA,2.885,23,FALSE,no_data,1,17.07,OTB,TRUE,NA,NA,8026,Daley Blind,NA,NA,F,FALSE,FALSE,O,FALSE
41923,10502,36681,20.33,1,6630005,SH,OTB,8342,Memphis Depay,10,1,CF,41.38,-16.39,50.206,-4.834,NA,38.632,NA,NA,27.661,-0.963,NA,36.116,17.29,26.813,8.408,NA,7.968,-1.065,-3.406,-21.644,NA,-15.86,NA,NA,7.102,13.501,NA,-1.075,-7.898,-23.255,-16.785,NA,-3.558,-1.967,1,18.56,23.727,3.117,3.541,NA,-8.64,NA,2.147,5.584,-36.774,NA,NA,-10.329,-8.346,NA,25.918,-8.639,-17.291,-11.007,16.256,NA,-13.661,NA,6.707,-26.123,-1.942,NA,NA,3.154,-5.33,NA,-1.538,23,TRUE,goal_detected,1,20.32,OTB,TRUE,NA,NA,8342,Memphis Depay,NA,NA,V,FALSE,FALSE,O,FALSE
55734,10502,50492,28.01,1,6630696,SH,OTB,37,Virgil van Dijk,4,0,MCB,49.16,9.31,50.401,43.935,NA,47.225,NA,NA,46.969,46.44,NA,47.235,45.54,46.377,46.592,NA,47.473,44.458,0.475,6.223,NA,-2.211,NA,NA,11.756,1.553,NA,2.897,-4.163,0.427,8.099,NA,6.484,20.165,1,43.193,38.782,33.117,24.316,NA,31.701,NA,41.648,45.793,-25,NA,NA,46.873,50.034,NA,52.079,13.383,18.742,-9.701,12.432,NA,-3.586,NA,27.003,-4.704,1.008,NA,NA,3.221,10.104,NA,33.189,23,FALSE,no_data,1,28,OTB,TRUE,NA,NA,37,Virgil van Dijk,NA,NA,S,FALSE,FALSE,B,FALSE
55734,10502,50493,28.01,1,6630696,SH,OTB,37,Virgil van Dijk,4,0,MCB,49.16,9.31,50.401,43.935,NA,47.225,NA,NA,46.969,46.44,NA,47.235,45.54,46.377,46.592,NA,47.473,44.458,0.475,6.223,NA,-2.211,NA,NA,11.756,1.553,NA,2.897,-4.163,0.427,8.099,NA,6.484,20.165,1,43.193,38.782,33.117,24.316,NA,31.701,NA,41.648,45.793,-25,NA,NA,46.873,50.034,NA,52.079,13.383,18.742,-9.701,12.432,NA,-3.586,NA,27.003,-4.704,1.008,NA,NA,3.221,10.104,NA,33.189,23,FALSE,no_data,1,28,OTB,TRUE,NA,NA,37,Virgil van Dijk,NA,NA,S,FALSE,FALSE,B,FALSE
55734,10502,50494,28.01,1,6630696,SH,OTB,37,Virgil van Dijk,4,0,MCB,49.16,9.31,50.401,43.935,NA,47.225,NA,NA,46.969,46.44,NA,47.235,45.54,46.377,46.592,NA,47.473,44.458,0.475,6.223,NA,-2.211,NA,NA,11.756,1.553,NA,2.897,-4.163,0.427,8.099,NA,6.484,20.165,1,43.193,38.782,33.117,24.316,NA,31.701,NA,41.648,45.793,-25,NA,NA,46.873,50.034,NA,52.079,13.383,18.742,-9.701,12.432,NA,-3.586,NA,27.003,-4.704,1.008,NA,NA,3.221,10.104,NA,33.189,23,FALSE,no_data,1,28,OTB,TRUE,NA,NA,37,Virgil van Dijk,NA,NA,S,FALSE,FALSE,B,FALSE
55734,10502,50495,28.01,1,6630696,SH,OTB,37,Virgil van Dijk,4,0,MCB,49.16,9.31,50.401,43.935,NA,47.225,NA,NA,46.969,46.44,NA,47.235,45.54,46.377,46.592,NA,47.473,44.458,0.475,6.223,NA,-2.211,NA,NA,11.756,1.553,NA,2.897,-4.163,0.427,8.099,NA,6.484,20.165,1,43.193,38.782,33.117,24.316,NA,31.701,NA,41.648,45.793,-25,NA,NA,46.873,50.034,NA,52.079,13.383,18.742,-9.701,12.432,NA,-3.586,NA,27.003,-4.704,1.008,NA,NA,3.221,10.104,NA,33.189,23,FALSE,no_data,1,28,OTB,TRUE,NA,NA,37,Virgil van Dijk,NA,NA,S,FALSE,FALSE,B,FALSE
55734,10502,50496,28.01,1,6630696,SH,OTB,37,Virgil van Dijk,4,0,MCB,49.16,9.31,50.401,43.935,NA,47.225,NA,NA,46.969,46.44,NA,47.235,45.54,46.377,46.592,NA,47.473,44.458,0.475,6.223,NA,-2.211,NA,NA,11.756,1.553,NA,2.897,-4.163,0.427,8.099,NA,6.484,20.165,1,43.193,38.782,33.117,24.316,NA,31.701,NA,41.648,45.793,-25,NA,NA,46.873,50.034,NA,52.079,13.383,18.742,-9.701,12.432,NA,-3.586,NA,27.003,-4.704,1.008,NA,NA,3.221,10.104,NA,33.189,23,FALSE,no_data,1,28,OTB,TRUE,NA,NA,37,Virgil van Dijk,NA,NA,S,FALSE,FALSE,B,FALSE
